core_id,st,maxtime,mintime,n_gps_samples,gps_satellites_avg,lat_avg,lat_fixed,lon_avg,lon_fixed,dist_diff_meters
280031001050483553343720,2019-04-24 13:12:45+00,2019-08-31 23:58:49+00,2019-04-24 13:27:15+00,117029,0.0754172042826992,5.67378854310345,5.680624,-0.267135105437666,-0.2677936,757.097964954087
260041000f47373432363837,2019-05-14 17:20:06+00,2019-08-31 06:48:38+00,2019-05-16 21:33:49+00,40180,0.931134892981583,5.62445543562508,5.631135,-0.299722560930098,-0.3005749,742.393261093023
35001d000247373334363431,2019-02-25 21:04:11+00,2019-08-31 23:59:11+00,2019-02-25 21:05:24+00,173147,0.0263475543902002,5.55446125029656,5.5611347,-0.272496804270463,-0.2730429,738.207124345696
380039000a47373334363431,2019-02-28 18:51:30+00,2019-07-23 23:07:42+00,2019-02-28 18:52:48+00,134066,0.161517461548789,5.57034083468429,5.5726348,-0.227864338950512,-0.2340748,729.919143003793
38003d001050483553343720,2019-04-18 21:46:40+00,2019-04-20 08:03:04+00,2019-04-20 06:58:04+00,44,0.75,5.6507844,5.6465397,-0.2967436,-0.2917066,726.219077263877
560055000d50483553343720,2019-03-04 17:50:54+00,2019-08-31 23:59:50+00,2019-03-04 17:51:15+00,167859,10.1172650855778,5.5903166232676,5.5901646,-0.230006497154335,-0.2361557,678.156763079479
21002d000b47373334363431,2019-02-26 12:16:33+00,2019-08-31 08:33:19+00,2019-02-26 12:17:14+00,80113,0.0768664261730306,5.5258417322357,5.5306937,-0.256127375216638,-0.256351,535.497304484379
21001e000247373334363431,2019-04-23 21:16:13+00,2019-07-27 04:32:31+00,2019-04-23 21:17:34+00,83430,0.000239721922569819,5.6321304,5.6283849,-0.2307018,-0.2336176,523.317856688562
500057000d50483553343720,2019-04-23 18:20:37+00,2019-08-31 23:58:28+00,2019-04-23 18:21:22+00,61255,0.242070035099176,5.60721034393404,5.6113439,-0.293483568119356,-0.2952027,493.566731268621
1e0036000951343334363138,2018-06-13 12:16:09+00,2019-08-31 23:59:02+00,2018-07-01 00:00:44+00,298493,0.283500785613063,5.63511722125488,5.639252,-0.308747394596215,-0.3100396,477.602568323006
54003b001950483553353620,2019-02-22 18:35:04+00,2019-08-31 23:58:29+00,2019-02-22 18:36:24+00,172398,0.25281035742874,5.54001497024195,5.544226,-0.261743416224609,-0.2624442,470.65090358339
35003d001951353339373130,2018-06-21 20:12:54+00,2019-08-31 23:12:25+00,2018-07-01 00:01:22+00,192300,0.443712948517941,5.6756464883986,5.679675,-0.27740228341637,-0.2788068,470.362893966329
380029000d50483553343720,2019-04-16 22:03:31+00,2019-08-31 23:58:42+00,2019-05-08 11:20:36+00,95482,6.55908967135167,5.62167643547383,5.618104,-0.257137235958827,-0.2594261,467.766646822606
4a003d001151363038393739,2018-06-19 15:06:37+00,2018-12-13 22:40:56+00,2018-07-01 00:00:29+00,76388,0.476972822956485,5.62420637570303,5.628335,-0.261643802727784,-0.2623532,461.851226132054
