Pair_ID,Origin_ID,Destination_ID,Dist_along_grid_meters,Destination_Rank
2b004b001251363038393739 6/13/18 7:56 - 48002b001151363038393739 6/20/18 9:54,2b004b001251363038393739 6/13/18 7:56 ,48002b001151363038393739 6/20/18 9:54,10780.9185,66
2b004b001251363038393739 6/13/18 7:56 - 31002d000d50483553343720 4/26/19 22:24,2b004b001251363038393739 6/13/18 7:56 ,31002d000d50483553343720 4/26/19 22:24,10943.56607,67
3.80025E+23 6/13/18 8:21 - 3.80025E+23 6/13/18 8:21,3.80025E+23 6/13/18 8:21 ,3.80025E+23 6/13/18 8:21,0,1
3.80025E+23 6/13/18 8:21 - 2b004b001251363038393739 6/13/18 7:56,3.80025E+23 6/13/18 8:21 ,2b004b001251363038393739 6/13/18 7:56,151.6988903,2
3.80025E+23 6/13/18 8:21 - 31001e001351363038393739 6/14/18 15:06,3.80025E+23 6/13/18 8:21 ,31001e001351363038393739 6/14/18 15:06,284.497893,3
3.80025E+23 6/13/18 8:21 - 330026000e47373432363837 6/11/19 16:39,3.80025E+23 6/13/18 8:21 ,330026000e47373432363837 6/11/19 16:39,482.1582139,4
3.80025E+23 6/13/18 8:21 - 230045000f47373334363431 4/23/19 16:50,3.80025E+23 6/13/18 8:21 ,230045000f47373334363431 4/23/19 16:50,485.765407,5
3.80025E+23 6/13/18 8:21 - 4.50019E+23 6/19/18 16:46,3.80025E+23 6/13/18 8:21 ,4.50019E+23 6/19/18 16:46,667.4787284,6
3.80025E+23 6/13/18 8:21 - 5.00036E+23 6/14/18 15:17,3.80025E+23 6/13/18 8:21 ,5.00036E+23 6/14/18 15:17,680.2409604,7
3.80025E+23 6/13/18 8:21 - 380029000d50483553343720 4/16/19 22:03,3.80025E+23 6/13/18 8:21 ,380029000d50483553343720 4/16/19 22:03,680.2409604,8
3.80025E+23 6/13/18 8:21 - 4b0041001951353339373130 4/16/19 21:02,3.80025E+23 6/13/18 8:21 ,4b0041001951353339373130 4/16/19 21:02,680.2409604,9
3.80025E+23 6/13/18 8:21 - 2a002a000951343334363138 6/19/18 16:42,3.80025E+23 6/13/18 8:21 ,2a002a000951343334363138 6/19/18 16:42,888.7545399,10
3.80025E+23 6/13/18 8:21 - 2f0041001047373334363431 4/23/19 14:16,3.80025E+23 6/13/18 8:21 ,2f0041001047373334363431 4/23/19 14:16,980.1557586,11
3.80025E+23 6/13/18 8:21 - 1b0029000347373334363431 6/11/19 17:06,3.80025E+23 6/13/18 8:21 ,1b0029000347373334363431 6/11/19 17:06,1282.114626,12
3.80025E+23 6/13/18 8:21 - 2b0053000d50483553343720 4/18/19 21:11,3.80025E+23 6/13/18 8:21 ,2b0053000d50483553343720 4/18/19 21:11,1679.386642,13
3.80025E+23 6/13/18 8:21 - 5.20027E+23 6/21/18 20:31,3.80025E+23 6/13/18 8:21 ,5.20027E+23 6/21/18 20:31,1722.228211,14
3.80025E+23 6/13/18 8:21 - 4.20028E+23 5/10/19 5:59,3.80025E+23 6/13/18 8:21 ,4.20028E+23 5/10/19 5:59,1722.228211,15
3.80025E+23 6/13/18 8:21 - 1.90039E+23 5/20/19 1:57,3.80025E+23 6/13/18 8:21 ,1.90039E+23 5/20/19 1:57,1926.145113,16
