core_1,core_2,logical_grid_distance
530039001351363038393739,35003e001951353339373130,4
530039001351363038393739,48003d001151363038393739,3
530039001351363038393739,2a0026000f47373334363431,3
530039001351363038393739,1f0033000b47373334363431,3
530039001351363038393739,4f004a001951353339373130,4
530039001351363038393739,3d0055001951353339373130,4
530039001351363038393739,270042000f47373334363431,4
530039001351363038393739,220037000247373334363431,4
530039001351363038393739,1a003d000951343334363138,4
530039001351363038393739,30001a001451343334363036,4
530039001351363038393739,200020000747373334363431,4
530039001351363038393739,51004d000a51353431383437,4
530039001351363038393739,440059000951343334363138,4
530039001351363038393739,310024000e47373334363431,4
530039001351363038393739,400045000251353337353037,4
530039001351363038393739,270025001451343334363036,4
530039001351363038393739,330024001050483553343720,4
530039001351363038393739,2f002c001251363038393739,4
530039001351363038393739,240057001151363038393739,4
530039001351363038393739,530033001351363038393739,4
530039001351363038393739,210037000e47373334363431,4
530039001351363038393739,31001e001351363038393739,3
530039001351363038393739,500036001351363038393739,3
530039001351363038393739,380029000d50483553343720,3
530039001351363038393739,4b0041001951353339373130,4
530039001351363038393739,340056001251363038393739,4
530039001351363038393739,49001a000951343334363138,4
530039001351363038393739,260041000f47373432363837,4
530039001351363038393739,450019000951343334363138,3
530039001351363038393739,310035001351363038393739,3
530039001351363038393739,4a004d001951353339373130,4
530039001351363038393739,340050001251363038393739,4
530039001351363038393739,350020000247373334363431,4
530039001351363038393739,54003b000e51353433323633,4
530039001351363038393739,1d003f000951343334363138,3
530039001351363038393739,190039000147373334363431,3
530039001351363038393739,2c003d000147373334363431,3
530039001351363038393739,340029001251363038393739,4
530039001351363038393739,480039001151363038393739,4
530039001351363038393739,280048001251363038393739,4
530039001351363038393739,2b0017000147373334363431,4
530039001351363038393739,3b0041000951353431383437,4
530039001351363038393739,39004f000951343334363138,4
530039001351363038393739,38003e000a47373334363431,4
530039001351363038393739,35002d001951353339373130,4
530039001351363038393739,33005b001251363038393739,4
530039001351363038393739,500057000d50483553343720,4
530039001351363038393739,34005b000a51353431383437,4
530039001351363038393739,350037001951353339373130,4
530039001351363038393739,2e001f000147373334363431,4
530039001351363038393739,30002c001351363038393739,4
530039001351363038393739,33003a000951343334363138,4
530039001351363038393739,510042001951353339373130,4
530039001351363038393739,3e001e000d47373334363431,4
530039001351363038393739,2b002b000147373334363431,4
530039001351363038393739,3d0060000951343334363138,4
530039001351363038393739,540057000d50483553343720,4
530039001351363038393739,2b0051000d50483553343720,4
530039001351363038393739,470055001151363038393739,4
530039001351363038393739,250058000151353432393339,4
530039001351363038393739,340023000247373334363431,4
530039001351363038393739,2f0039000551353431383736,4
530039001351363038393739,230048001151363038393739,4
530039001351363038393739,2a0037000147373334363431,4
530039001351363038393739,1e003d000951343334363138,4
530039001351363038393739,2b0049001251363038393739,4
530039001351363038393739,3e003d001050483553343720,4
530039001351363038393739,26002c001951343334363036,4
530039001351363038393739,340064000951343334363138,3
530039001351363038393739,470019000951343334363138,4
530039001351363038393739,320062000951343334363138,4
530039001351363038393739,24004f000151353432393339,4
530039001351363038393739,3b001c000a47373334363431,4
530039001351363038393739,3b0046000151353432393339,4
530039001351363038393739,400063000951343334363138,4
530039001351363038393739,200049000d50483553343720,4
530039001351363038393739,1d0036000951343334363138,4
530039001351363038393739,26004e000951343334363138,4
530039001351363038393739,2e0020001251363038393739,4
530039001351363038393739,26002b000d50483553343720,4
530039001351363038393739,3e0025000247373334363431,4
530039001351363038393739,4d004b000a51353431383437,3
530039001351363038393739,47001e000951353431383437,3
530039001351363038393739,2a002e000147373334363431,3
530039001351363038393739,2c001b001451343334363036,4
530039001351363038393739,57002c000151353432393339,4
530039001351363038393739,22002a000951343334363138,4
530039001351363038393739,43002c000951343334363138,4
530039001351363038393739,47002d000a51353431383437,4
530039001351363038393739,3c0025001451343334363036,4
530039001351363038393739,35003d001951353339373130,4
530039001351363038393739,21001e000247373334363431,4
530039001351363038393739,2f001d000247373334363431,4
530039001351363038393739,1b004e000951343334363138,4
530039001351363038393739,300036000c47373334363431,4
530039001351363038393739,240042001151363038393739,4
530039001351363038393739,480039000a51353431383437,4
530039001351363038393739,380023000a47373334363431,4
530039001351363038393739,49003f000951353431383437,4
530039001351363038393739,37004e000551353431383736,4
